"","restaurant_name","cuisines","cost","timings","collections","url"
"1","Flechazo","Asian, Mediterranean, North Indian, Momos",1300,"11:30am – 4:30pm, 6:30pm – 11pm (Mon-Sun)","Great Buffets, Hyderabad's Hottest","https://www.zomato.com/hyderabad/flechazo-gachibowli"
"2","eat.fit","Healthy Food, North Indian, Continental, South Indian",500,"7am – 10pm (Mon-Sun)","Food Hygiene Rated Restaurants in Hyderabad","https://www.zomato.com/hyderabad/eat-fit-gachibowli"
"3","Marsala Food Company","Arabian, North Indian, Chinese",700,"12noon – 4pm, 7pm – 12midnight (Mon-Sun)","Mandi, Great Buffets, The ‘Must Visit’ Eateries","https://www.zomato.com/hyderabad/marsala-food-company-gachibowli"
"4","Beyond Flavours","Chinese, Continental, Kebab, European, South Indian, North Indian",800,"12noon – 11:30pm (Mon-Sun)","Food Hygiene Rated Restaurants in Hyderabad, Corporate Favorites, Great Buffets, Top-Rated, Gold Curated, Live Sports Screenings","https://www.zomato.com/hyderabad/beyond-flavours-gachibowli"
"5","Shah Ghouse Hotel & Restaurant","Biryani, North Indian, Chinese, Seafood, Beverages",800,"12noon – 2am (Mon-Sun)","Late Night Restaurants, Brilliant Biryanis","https://www.zomato.com/hyderabad/shah-ghouse-hotel-restaurant-gachibowli"
"6","Over The Moon Brew Company","Asian, Continental, North Indian, Chinese, Mediterranean",1200,"12noon – 11pm (Mon, Tue, Wed, Thu, Sun), 12noon...","Best Bars & Pubs, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated, Hyderabad's Hottest, Trending This Week","https://www.zomato.com/hyderabad/over-the-moon-brew-company-gachibowli"
"7","The Fisherman's Wharf","Seafood, Goan, North Indian, Continental, Asian",1500,"12noon – 3:30pm, 4pm – 6:30pm, 7pm – 11:30pm...","Sunday Brunches, Corporate Favorites, Great Buffets, Hyderabad's Hottest, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated","https://www.zomato.com/hyderabad/the-fishermans-wharf-gachibowli"
"8","Paradise","Biryani, North Indian, Chinese",800,"11am – 11pm (Mon-Sun)","Hyderabad's Hottest","https://www.zomato.com/hyderabad/paradise-gachibowli"
"9","Hyper Local","American, Chinese, North Indian, Kebab, South Indian",1000,"12noon – 12midnight (Mon-Sun)","Great Buffets, Live Sports Screenings, Best Bars & Pubs","https://www.zomato.com/hyderabad/hyper-local-gachibowli"
"10","Shah Ghouse Spl Shawarma","Lebanese",300,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/shah-ghouse-spl-shawarma-gachibowli"
"11","AB's - Absolute Barbecues","European, Mediterranean, North Indian",1500,"12noon – 4:30pm, 6:30pm – 11:30pm (Mon-Sun)","Barbecue & Grill, Great Buffets, Corporate Favorites, Hyderabad's Hottest","https://www.zomato.com/hyderabad/abs-absolute-barbecues-gachibowli"
"12","The Lal Street - Bar Exchange","North Indian, Italian, Finger Food",1300,"12noon – 12midnight (Mon-Sun)","Corporate Favorites, Happy Hours, Live Sports Screenings, Rooftops","https://www.zomato.com/hyderabad/the-lal-street-bar-exchange-gachibowli"
"13","Cream Stone","Ice Cream, Desserts",350,"10am – 1am (Mon-Thu),10am – 1:30am (Fri-Sun)","Frozen Delights","https://www.zomato.com/hyderabad/cream-stone-gachibowli"
"14","Sardarji's Chaats & More","Street Food, North Indian, Fast Food",400,"12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)","Street Food, Veggie Friendly, Pocket Friendly","https://www.zomato.com/hyderabad/sardarjis-chaats-more-gachibowli"
"15","Absolute Sizzlers","Continental, American, Chinese",750,"11:30am – 1am (Mon-Sun)","Great Buffets","https://www.zomato.com/hyderabad/absolute-sizzlers-gachibowli"
"16","NorFest - The Dhaba","North Indian",550,"12noon – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/norfest-the-dhaba-gachibowli"
"17","10 Downing Street","North Indian, Chinese, Continental",1900,"12noon – 12midnight (Mon-Sun)","Trending This Week","https://www.zomato.com/hyderabad/10-downing-street-gachibowli"
"18","Mazzo - Marriott Executive Apartments","Italian, North Indian, South Indian, Asian",1700,"6am – 12midnight (Mon-Sun)","Top-Rated, Gold Curated, Fancy and Fun ","https://www.zomato.com/hyderabad/mazzo-marriott-executive-apartments-gachibowli"
"19","B-Dubs","American",1600,"11am – 1am (Mon-Sun)","Hyderabad's Hottest","https://www.zomato.com/hyderabad/b-dubs-gachibowli"
"20","Jonathan's Kitchen - Holiday Inn Express & Suites","North Indian, Japanese, Italian, Salad, Sushi",1900,"11:30am – 3pm, 7pm – 11pm (Mon-Sun)","Great Italian, Sunday Brunches","https://www.zomato.com/hyderabad/jonathans-kitchen-holiday-inn-express-suites-gachibowli"
"21","KFC","Burger, Fast Food",500,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kfc-gachibowli"
"22","Frio Bistro","European, Italian, Continental, Spanish",1200,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/frio-bistro-gachibowli"
"23","3B's - Buddies, Bar & Barbecue","North Indian, Mediterranean, European",1100,"12noon – 4pm, 6:30pm – 11:30pm (Mon-Sun)","Barbecue & Grill, Live Sports Screenings","https://www.zomato.com/hyderabad/3bs-buddies-bar-barbecue-gachibowli"
"24","13 Dhaba","North Indian",450,"Closed (Mon),12:30pm – 10pm (Tue-Sun)","Veggie Friendly","https://www.zomato.com/hyderabad/13-dhaba-gachibowli"
"25","The Glass Onion","North Indian, Continental, Italian, Asian",1200,"12noon – 11pm (Mon, Tue, Wed, Thu, Sun), 12noon...","Fancy and Fun , Hyderabad's Hottest","https://www.zomato.com/hyderabad/the-glass-onion-gachibowli"
"26","SKYHY","North Indian, Chinese, Continental",1400,"12noon – 12midnight (Mon, Tue, Wed, Thu, Sun)...","Live Sports Screenings, Gigs and Events","https://www.zomato.com/hyderabad/skyhy-gachibowli"
"27","Karachi Cafe","Cafe, Desserts, Fast Food",600,"10am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/karachi-cafe-gachibowli"
"28","Mustang Terrace Lounge","Mexican, Italian, North Indian, Chinese, Salad",1300,"12noon – 11:30pm (Mon-Thu),12noon – 1am...","Rooftops, Live Sports Screenings, Best Bars & Pubs","https://www.zomato.com/hyderabad/mustang-terrace-lounge-gachibowli"
"29","Pot Pourri","Andhra, South Indian, North Indian",900,NA,NA,"https://www.zomato.com/hyderabad/pot-pourri-gachibowli"
